Year,Primary Type,Description,Location
2015,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,"(41.778699495, -87.670279674)"
2015,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"(41.747890336, -87.663373975)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.879431173, -87.750836115)"
2015,BATTERY,SIMPLE,"(41.862871696, -87.713489726)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.901727741, -87.720181564)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.78582618, -87.663144174)"
2015,NARCOTICS,POSS: BARBITUATES,"(41.777829443, -87.611962305)"
2015,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,
2015,NARCOTICS,POSS: CRACK,"(41.7498139, -87.641574937)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.670032351, -87.620256728)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.942697226, -87.798294525)"
2015,THEFT,$500 AND UNDER,"(41.801901755, -87.714418773)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.954397175, -87.704364968)"
2015,THEFT,OVER $500,
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.743017153, -87.667272117)"
2015,BATTERY,SIMPLE,"(42.006316229, -87.686858931)"
2015,CRIMINAL TRESPASS,TO STATE SUP LAND,"(41.897654542, -87.641792558)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.837807813, -87.713390368)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.893130275, -87.749180085)"
2015,BATTERY,AGG PO HANDS NO/MIN INJURY,"(41.881716983, -87.752974602)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.787360611, -87.674117571)"
2015,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"(41.678016726, -87.623536323)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.875573643, -87.745088)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.854332199, -87.646543048)"
2015,BATTERY,SIMPLE,"(42.001064985, -87.661254473)"
2015,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"(41.918084655, -87.746152763)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.791240392, -87.792764563)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.777503445, -87.615558861)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.861807216, -87.707975081)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.932052874, -87.767487112)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.949232201, -87.710337876)"
2015,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"(41.794960104, -87.732253294)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.927671628, -87.762755908)"
2015,ASSAULT,SIMPLE,"(41.84585638, -87.72460935)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.931979657, -87.711417208)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.90438245, -87.732315404)"
2015,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,"(41.793262856, -87.64269948)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.882709523, -87.768205446)"
2015,ASSAULT,SIMPLE,"(41.857987197, -87.654330138)"
2015,CRIMINAL DAMAGE,TO VEHICLE,
2015,NARCOTICS,POSS: SYNTHETIC DRUGS,"(41.933519761, -87.758940424)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.904867604, -87.764527588)"
2015,THEFT,OVER $500,"(41.787393662, -87.698501428)"
2015,THEFT,ATTEMPT THEFT,"(41.890342445, -87.628018104)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.756561937, -87.566325315)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.879670901, -87.704202313)"
2015,THEFT,$500 AND UNDER,"(41.718748583, -87.664808573)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.74830225, -87.550955539)"
2015,THEFT,$500 AND UNDER,
2015,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,"(41.910689816, -87.714952417)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.751427982, -87.591497227)"
2015,ASSAULT,SIMPLE,"(41.756561937, -87.566325315)"
2015,PROSTITUTION,SOLICIT ON PUBLIC WAY,"(41.901787558, -87.726275059)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.970889702, -87.719544457)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.699184762, -87.61354863)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.792047227, -87.634094945)"
2015,THEFT,FROM BUILDING,"(41.891352111, -87.6311178)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.704245086, -87.541338672)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.903726889, -87.64259764)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,
2015,THEFT,FROM BUILDING,"(41.937965479, -87.662310701)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.99371029, -87.792636483)"
2015,THEFT,OVER $500,"(41.932399595, -87.750126569)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.736272399, -87.64413477)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.842037919, -87.619979608)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.920682372, -87.785353424)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.866902523, -87.715436986)"
2015,ASSAULT,AGGRAVATED: HANDGUN,"(41.750832464, -87.605224746)"
2015,NARCOTICS,POSS: CRACK,"(41.878885005, -87.724373109)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.848139992, -87.69288762)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.746198078, -87.656051678)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.73934627, -87.587906289)"
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.823458129, -87.688976836)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.736259984, -87.628068782)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.871908743, -87.701943282)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.85071995, -87.695416492)"
2015,THEFT,$500 AND UNDER,"(41.889179438, -87.633040334)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.777147356, -87.650791423)"
2015,THEFT,$500 AND UNDER,"(41.878033482, -87.640469257)"
2015,BATTERY,SIMPLE,"(41.756917825, -87.58914335)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.851645273, -87.716611577)"
2015,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"(41.759350096, -87.61514544)"
2015,THEFT,OVER $500,"(41.808078854, -87.707276456)"
2015,THEFT,$500 AND UNDER,"(41.934975141, -87.806639403)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.810278511, -87.632462482)"
2015,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.916199776, -87.699269341)"
2015,BATTERY,SIMPLE,"(41.777287069, -87.68924858)"
2015,THEFT,OVER $500,
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.859379458, -87.666194455)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.8822953, -87.761033571)"
2015,ASSAULT,SIMPLE,"(41.751320646, -87.602151846)"
2015,CRIMINAL DAMAGE,TO PROPERTY,
2015,THEFT,$500 AND UNDER,"(41.799710045, -87.750275026)"
2015,THEFT,$500 AND UNDER,"(41.699949293, -87.703558661)"
2015,THEFT,OVER $500,"(41.859079034, -87.705890901)"
2015,THEFT,$500 AND UNDER,"(41.980971834, -87.844694489)"
2015,THEFT,OVER $500,"(41.946512428, -87.716900113)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.82503785, -87.608684579)"
2015,THEFT,$500 AND UNDER,"(41.739576257, -87.712947391)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.786291714, -87.664386014)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.874541608, -87.745049731)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.78701723, -87.645505595)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.832329279, -87.616983146)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.685068588, -87.643184156)"
2015,THEFT,OVER $500,"(41.954659992, -87.751067021)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.762580818, -87.66860929)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.7302749, -87.603932909)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.695861422, -87.612241885)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.861087442, -87.692402349)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.927941891, -87.647624558)"
2015,THEFT,OVER $500,"(41.915697706, -87.654644636)"
2015,NARCOTICS,POSS: CRACK,"(41.735850287, -87.659021881)"
2015,THEFT,OVER $500,"(41.985855738, -87.820605565)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.797994898, -87.596039755)"
2015,THEFT,$500 AND UNDER,"(41.911151209, -87.63598179)"
2015,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,"(41.858296757, -87.723694812)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.700126485, -87.702341203)"
2015,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,"(41.778790504, -87.66420367)"
2015,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"(41.883209435, -87.764962093)"
2015,CRIMINAL TRESPASS,TO RESIDENCE,"(41.778043594, -87.762243712)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.824319229, -87.64351052)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.834052592, -87.621825954)"
2015,THEFT,OVER $500,"(41.897895128, -87.624096605)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.741950206, -87.721671014)"
2015,THEFT,FROM BUILDING,
2015,ROBBERY,ARMED: HANDGUN,"(41.772031375, -87.618647916)"
2015,THEFT,$500 AND UNDER,"(41.94233746, -87.757946049)"
2015,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME","(41.806780817, -87.70727809)"
2015,BATTERY,SIMPLE,"(41.902958085, -87.693195993)"
2015,THEFT,OVER $500,"(41.892753031, -87.624193896)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,
2015,THEFT,$500 AND UNDER,"(41.767867309, -87.587411251)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.870374257, -87.654246791)"
2015,ASSAULT,SIMPLE,"(41.785283676, -87.801240643)"
2015,THEFT,$500 AND UNDER,"(41.754635661, -87.561440922)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.90816095, -87.733830266)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.755809692, -87.62795008)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.686271921, -87.632517658)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(42.014282243, -87.680493163)"
