year,category,total_number
2012,ARSON,237
2006,ASSAULT,12449
2010,ASSAULT,12388
2004,BAD CHECKS,79
2011,BAD CHECKS,45
2012,BAD CHECKS,49
2009,BRIBERY,46
2013,BRIBERY,69
2007,BURGLARY,5454
2015,BURGLARY,5030
2008,DISORDERLY CONDUCT,789
2010,DISORDERLY CONDUCT,827
2004,DRIVING UNDER THE INFLUENCE,244
2005,DRIVING UNDER THE INFLUENCE,196
2006,DRIVING UNDER THE INFLUENCE,266
2005,DRUG/NARCOTIC,8533
2007,DRUG/NARCOTIC,10560
2012,DRUG/NARCOTIC,6447
2008,DRUNKENNESS,710
2009,DRUNKENNESS,804
2013,DRUNKENNESS,954
2012,EMBEZZLEMENT,169
2005,EXTORTION,34
2010,EXTORTION,58
2011,EXTORTION,41
2014,EXTORTION,32
2015,EXTORTION,29
2007,FAMILY OFFENSES,79
2003,FORGERY/COUNTERFEITING,2320
2005,FORGERY/COUNTERFEITING,2209
2011,FORGERY/COUNTERFEITING,820
2014,FORGERY/COUNTERFEITING,750
2003,GAMBLING,27
2005,GAMBLING,29
2013,GAMBLING,22
2012,KIDNAPPING,282
2011,LARCENY/THEFT,25905
2015,LARCENY/THEFT,36771
2005,LIQUOR LAWS,278
2010,LIQUOR LAWS,324
2004,LOITERING,236
2010,LOITERING,187
2014,LOITERING,36
2003,MISSING PERSON,3699
2006,MISSING PERSON,4253
2013,NON-CRIMINAL,21085
2005,OTHER OFFENSES,17834
2011,OTHER OFFENSES,19552
2012,OTHER OFFENSES,18649
2013,OTHER OFFENSES,19484
2015,OTHER OFFENSES,17240
2005,PORNOGRAPHY/OBSCENE MAT,5
2006,PORNOGRAPHY/OBSCENE MAT,6
2008,PORNOGRAPHY/OBSCENE MAT,5
2013,PROSTITUTION,692
2014,PROSTITUTION,449
2008,RECOVERED VEHICLE,833
2009,RECOVERED VEHICLE,655
2005,ROBBERY,3566
2006,ROBBERY,4131
2003,RUNAWAY,366
2012,RUNAWAY,330
2015,RUNAWAY,134
2006,SECONDARY CODES,1375
2009,SECONDARY CODES,1783
2014,SECONDARY CODES,1879
2015,SECONDARY CODES,1779
2004,SEX OFFENSES FORCIBLE,698
2007,SEX OFFENSES FORCIBLE,631
2013,SEX OFFENSES FORCIBLE,760
2005,SEX OFFENSES NON FORCIBLE,24
2008,SEX OFFENSES NON FORCIBLE,20
2013,SEX OFFENSES NON FORCIBLE,18
2004,SUICIDE,102
2010,SUICIDE,82
2003,SUSPICIOUS OCC,4196
2007,SUSPICIOUS OCC,4800
2015,SUSPICIOUS OCC,4653
2013,TREA,4
2008,TRESPASS,1151
2015,TRESPASS,1178
2011,VANDALISM,7243
2004,VEHICLE THEFT,17884
2005,WARRANTS,6708
2010,WARRANTS,6187
2014,WARRANTS,6728
2007,WEAPON LAWS,1318
2010,WEAPON LAWS,1349
2011,WEAPON LAWS,1329
2012,WEAPON LAWS,1460
2015,WEAPON LAWS,1434
2005,ASSAULT,11601
2015,ASSAULT,11400
2005,BAD CHECKS,101
2010,BAD CHECKS,54
2014,BAD CHECKS,34
2015,BAD CHECKS,28
2003,BRIBERY,28
2003,BURGLARY,6047
2004,BURGLARY,6753
2010,BURGLARY,4966
2007,DISORDERLY CONDUCT,581
2011,DISORDERLY CONDUCT,762
2007,DRIVING UNDER THE INFLUENCE,313
2008,DRIVING UNDER THE INFLUENCE,408
2010,DRIVING UNDER THE INFLUENCE,458
2013,DRUG/NARCOTIC,6779
2014,DRUG/NARCOTIC,5409
2015,DRUG/NARCOTIC,3610
2004,DRUNKENNESS,600
2005,EMBEZZLEMENT,197
2006,EMBEZZLEMENT,229
2013,EMBEZZLEMENT,172
2011,FAMILY OFFENSES,58
2015,FAMILY OFFENSES,58
2009,FORGERY/COUNTERFEITING,2209
2012,FORGERY/COUNTERFEITING,990
2006,FRAUD,2599
2007,FRAUD,2349
2009,FRAUD,2513
2013,FRAUD,2752
2011,GAMBLING,17
2014,GAMBLING,8
2006,KIDNAPPING,318
2004,LARCENY/THEFT,24505
2010,LARCENY/THEFT,24446
2004,LIQUOR LAWS,350
2007,LIQUOR LAWS,401
2009,LIQUOR LAWS,394
2013,LIQUOR LAWS,227
2007,LOITERING,430
2009,MISSING PERSON,3657
2011,MISSING PERSON,4758
2013,MISSING PERSON,4485
2007,NON-CRIMINAL,12677
2014,OTHER OFFENSES,20743
2003,PORNOGRAPHY/OBSCENE MAT,3
2013,PORNOGRAPHY/OBSCENE MAT,5
2003,PROSTITUTION,1952
2007,PROSTITUTION,1873
2011,RECOVERED VEHICLE,693
2012,RECOVERED VEHICLE,723
2010,ROBBERY,3324
2011,ROBBERY,3376
2009,RUNAWAY,340
2011,RUNAWAY,320
2006,SEX OFFENSES NON FORCIBLE,29
2009,SEX OFFENSES NON FORCIBLE,17
2007,STOLEN PROPERTY,527
2006,SUICIDE,86
2013,SUICIDE,73
2014,SUICIDE,70
2013,SUSPICIOUS OCC,5677
2003,TRESPASS,1434
2009,TRESPASS,1232
2010,TRESPASS,1150
2008,VANDALISM,7342
2009,VANDALISM,7604
2003,VEHICLE THEFT,15325
2009,VEHICLE THEFT,5183
2010,VEHICLE THEFT,4346
2006,WARRANTS,6498
2011,WARRANTS,6311
2012,WARRANTS,6300
2005,ARSON,231
2004,ASSAULT,12899
2007,ASSAULT,12518
2009,ASSAULT,12284
2013,ASSAULT,12583
2014,ASSAULT,12408
2008,BAD CHECKS,78
2014,BRIBERY,56
2015,BRIBERY,62
2009,BURGLARY,5379
2015,DISORDERLY CONDUCT,433
2009,DRIVING UNDER THE INFLUENCE,579
2014,DRIVING UNDER THE INFLUENCE,382
2004,DRUG/NARCOTIC,9897
2009,DRUG/NARCOTIC,11950
2005,DRUNKENNESS,636
2012,DRUNKENNESS,644
2004,EMBEZZLEMENT,201
2009,EMBEZZLEMENT,215
2011,EMBEZZLEMENT,168
2007,EXTORTION,41
2012,EXTORTION,38
2006,FAMILY OFFENSES,89
2010,FAMILY OFFENSES,95
2004,FORGERY/COUNTERFEITING,2292
2006,FORGERY/COUNTERFEITING,2306
2013,FORGERY/COUNTERFEITING,913
2011,FRAUD,2756
2005,KIDNAPPING,276
2009,KIDNAPPING,478
2011,KIDNAPPING,421
2014,KIDNAPPING,523
2003,LARCENY/THEFT,26393
2006,LARCENY/THEFT,27352
2008,LARCENY/THEFT,25807
2015,LIQUOR LAWS,148
2005,LOITERING,273
2009,LOITERING,126
2013,LOITERING,54
2010,MISSING PERSON,4513
2015,MISSING PERSON,3973
2003,NON-CRIMINAL,13149
2005,NON-CRIMINAL,14055
2006,NON-CRIMINAL,13368
2010,NON-CRIMINAL,13878
2003,OTHER OFFENSES,21232
2007,OTHER OFFENSES,19763
2010,OTHER OFFENSES,20990
2007,PORNOGRAPHY/OBSCENE MAT,4
2010,PORNOGRAPHY/OBSCENE MAT,4
2004,PROSTITUTION,1527
2009,PROSTITUTION,1468
2010,PROSTITUTION,1299
2011,PROSTITUTION,1094
2015,PROSTITUTION,281
2004,ROBBERY,3380
2008,ROBBERY,4229
2013,ROBBERY,4197
2008,RUNAWAY,259
2010,RUNAWAY,293
2005,SECONDARY CODES,1001
2008,SECONDARY CODES,1580
2011,SECONDARY CODES,1815
2012,SECONDARY CODES,1865
2008,SEX OFFENSES FORCIBLE,682
2015,SEX OFFENSES FORCIBLE,749
2011,SEX OFFENSES NON FORCIBLE,29
2012,SEX OFFENSES NON FORCIBLE,28
2014,SEX OFFENSES NON FORCIBLE,20
2004,STOLEN PROPERTY,641
2005,SUICIDE,79
2015,SUICIDE,66
2006,SUSPICIOUS OCC,4775
2008,SUSPICIOUS OCC,4751
2013,TRESPASS,1129
2006,VANDALISM,7688
2013,VANDALISM,6921
2008,VEHICLE THEFT,6053
2012,VEHICLE THEFT,6183
2013,VEHICLE THEFT,6241
2014,VEHICLE THEFT,7114
2003,WEAPON LAWS,1281
2004,WEAPON LAWS,1252
2006,WEAPON LAWS,1324
2013,WEAPON LAWS,1536
2003,ARSON,293
2007,ARSON,246
2008,ARSON,248
2011,ARSON,203
2015,ARSON,280
2011,ASSAULT,12281
2003,BAD CHECKS,134
2006,BRIBERY,36
2008,BRIBERY,49
2012,BRIBERY,64
2011,BURGLARY,4987
2003,DISORDERLY CONDUCT,886
2004,DISORDERLY CONDUCT,814
2006,DISORDERLY CONDUCT,521
2012,DISORDERLY CONDUCT,704
2013,DRIVING UNDER THE INFLUENCE,448
2010,DRUG/NARCOTIC,9205
2006,DRUNKENNESS,703
2014,EMBEZZLEMENT,150
2015,EMBEZZLEMENT,127
2003,EXTORTION,43
2008,EXTORTION,52
2009,EXTORTION,92
2003,FAMILY OFFENSES,116
2005,FAMILY OFFENSES,64
2008,FAMILY OFFENSES,72
2007,FORGERY/COUNTERFEITING,2592
2003,FRAUD,3285
2005,FRAUD,2494
2008,FRAUD,2560
2010,FRAUD,2656
2012,FRAUD,2698
2004,GAMBLING,25
2007,GAMBLING,37
2010,GAMBLING,10
2003,KIDNAPPING,319
2007,KIDNAPPING,345
2005,LARCENY/THEFT,25319
2012,LARCENY/THEFT,30977
2012,LIQUOR LAWS,226
2003,LOITERING,175
2008,LOITERING,441
2004,MISSING PERSON,3675
2008,MISSING PERSON,4335
2012,MISSING PERSON,4373
2004,OTHER OFFENSES,20710
2006,OTHER OFFENSES,18306
2008,OTHER OFFENSES,23457
2009,OTHER OFFENSES,24693
2011,PORNOGRAPHY/OBSCENE MAT,3
2014,PORNOGRAPHY/OBSCENE MAT,2
2015,PORNOGRAPHY/OBSCENE MAT,4
2013,RECOVERED VEHICLE,760
2009,ROBBERY,3578
2004,RUNAWAY,431
2006,RUNAWAY,382
2014,RUNAWAY,221
2009,SEX OFFENSES FORCIBLE,682
2012,SEX OFFENSES FORCIBLE,791
2014,SEX OFFENSES FORCIBLE,846
2004,SEX OFFENSES NON FORCIBLE,31
2007,SEX OFFENSES NON FORCIBLE,39
2010,SEX OFFENSES NON FORCIBLE,30
2011,STOLEN PROPERTY,785
2009,SUSPICIOUS OCC,4627
2011,SUSPICIOUS OCC,6207
2012,SUSPICIOUS OCC,5860
2010,TREA,2
2015,TREA,1
2004,TRESPASS,1191
2011,TRESPASS,1072
2012,TRESPASS,1288
2014,TRESPASS,1125
2004,VANDALISM,6496
2010,VANDALISM,7934
2015,VANDALISM,6710
2007,VEHICLE THEFT,6460
2015,VEHICLE THEFT,6803
2003,WARRANTS,9079
2009,WARRANTS,5764
2013,WARRANTS,7363
2005,WEAPON LAWS,1341
2009,WEAPON LAWS,1433
2004,ARSON,280
2010,ARSON,209
2013,ARSON,248
2014,ARSON,253
2003,ASSAULT,13461
2008,ASSAULT,12681
2012,ASSAULT,12181
2006,BAD CHECKS,87
2007,BAD CHECKS,69
2004,BRIBERY,39
2007,BRIBERY,56
2010,BRIBERY,61
2011,BRIBERY,47
2005,BURGLARY,7071
2006,BURGLARY,7004
2008,BURGLARY,5679
2012,BURGLARY,6245
2014,BURGLARY,6070
2005,DISORDERLY CONDUCT,687
2014,DISORDERLY CONDUCT,345
2003,DRIVING UNDER THE INFLUENCE,289
2012,DRIVING UNDER THE INFLUENCE,421
2015,DRIVING UNDER THE INFLUENCE,380
2003,DRUG/NARCOTIC,9917
2003,DRUNKENNESS,662
2007,DRUNKENNESS,671
2010,DRUNKENNESS,706
2011,DRUNKENNESS,652
2003,EMBEZZLEMENT,240
2008,EMBEZZLEMENT,242
2006,EXTORTION,49
2013,EXTORTION,30
2004,FAMILY OFFENSES,109
2009,FAMILY OFFENSES,83
2012,FAMILY OFFENSES,77
2013,FAMILY OFFENSES,76
2014,FAMILY OFFENSES,89
2008,FORGERY/COUNTERFEITING,2468
2015,FORGERY/COUNTERFEITING,616
2014,FRAUD,2988
2015,FRAUD,2671
2006,GAMBLING,28
2008,GAMBLING,27
2009,GAMBLING,28
2015,GAMBLING,25
2008,KIDNAPPING,345
2007,LARCENY/THEFT,25770
2014,LARCENY/THEFT,38007
2003,LIQUOR LAWS,281
2011,LOITERING,124
