Series ID,Year,Period,Label,Value
LAUCN060750000000004,2000,M01,2000 Jan,16667
LAUCN060750000000004,2000,M02,2000 Feb,15969
LAUCN060750000000004,2000,M03,2000 Mar,16558
LAUCN060750000000004,2000,M04,2000 Apr,14827
LAUCN060750000000004,2000,M05,2000 May,15108
LAUCN060750000000004,2000,M06,2000 Jun,17442
LAUCN060750000000004,2000,M07,2000 Jul,17805
LAUCN060750000000004,2000,M08,2000 Aug,17535
LAUCN060750000000004,2000,M09,2000 Sep,15930
LAUCN060750000000004,2000,M10,2000 Oct,15538
LAUCN060750000000004,2000,M11,2000 Nov,15736
LAUCN060750000000004,2000,M12,2000 Dec,14528
LAUCN060750000000004,2001,M01,2001 Jan,18565
LAUCN060750000000004,2001,M02,2001 Feb,18456
LAUCN060750000000004,2001,M03,2001 Mar,19974
LAUCN060750000000004,2001,M04,2001 Apr,20015
LAUCN060750000000004,2001,M05,2001 May,20110
LAUCN060750000000004,2001,M06,2001 Jun,24006
LAUCN060750000000004,2001,M07,2001 Jul,25190
LAUCN060750000000004,2001,M08,2001 Aug,27068
LAUCN060750000000004,2001,M09,2001 Sep,26084
LAUCN060750000000004,2001,M10,2001 Oct,29077
LAUCN060750000000004,2001,M11,2001 Nov,29733
LAUCN060750000000004,2001,M12,2001 Dec,27852
LAUCN060750000000004,2002,M01,2002 Jan,32680
LAUCN060750000000004,2002,M02,2002 Feb,31310
LAUCN060750000000004,2002,M03,2002 Mar,31645
LAUCN060750000000004,2002,M04,2002 Apr,30589
LAUCN060750000000004,2002,M05,2002 May,28791
LAUCN060750000000004,2002,M06,2002 Jun,31736
LAUCN060750000000004,2002,M07,2002 Jul,31844
LAUCN060750000000004,2002,M08,2002 Aug,31771
LAUCN060750000000004,2002,M09,2002 Sep,30487
LAUCN060750000000004,2002,M10,2002 Oct,30385
LAUCN060750000000004,2002,M11,2002 Nov,30196
LAUCN060750000000004,2002,M12,2002 Dec,28820
LAUCN060750000000004,2003,M01,2003 Jan,31400
LAUCN060750000000004,2003,M02,2003 Feb,30260
LAUCN060750000000004,2003,M03,2003 Mar,30589
LAUCN060750000000004,2003,M04,2003 Apr,29039
LAUCN060750000000004,2003,M05,2003 May,27704
LAUCN060750000000004,2003,M06,2003 Jun,31965
LAUCN060750000000004,2003,M07,2003 Jul,30078
LAUCN060750000000004,2003,M08,2003 Aug,29140
LAUCN060750000000004,2003,M09,2003 Sep,27282
LAUCN060750000000004,2003,M10,2003 Oct,26771
LAUCN060750000000004,2003,M11,2003 Nov,26414
LAUCN060750000000004,2003,M12,2003 Dec,23822
LAUCN060750000000004,2004,M01,2004 Jan,26934
LAUCN060750000000004,2004,M02,2004 Feb,25475
LAUCN060750000000004,2004,M03,2004 Mar,26792
LAUCN060750000000004,2004,M04,2004 Apr,24431
LAUCN060750000000004,2004,M05,2004 May,22479
LAUCN060750000000004,2004,M06,2004 Jun,24552
LAUCN060750000000004,2004,M07,2004 Jul,25131
LAUCN060750000000004,2004,M08,2004 Aug,24049
LAUCN060750000000004,2004,M09,2004 Sep,21874
LAUCN060750000000004,2004,M10,2004 Oct,22575
LAUCN060750000000004,2004,M11,2004 Nov,24023
LAUCN060750000000004,2004,M12,2004 Dec,21000
LAUCN060750000000004,2005,M01,2005 Jan,22680
LAUCN060750000000004,2005,M02,2005 Feb,22539
LAUCN060750000000004,2005,M03,2005 Mar,22210
LAUCN060750000000004,2005,M04,2005 Apr,20331
LAUCN060750000000004,2005,M05,2005 May,19017
LAUCN060750000000004,2005,M06,2005 Jun,20959
LAUCN060750000000004,2005,M07,2005 Jul,21410
LAUCN060750000000004,2005,M08,2005 Aug,20759
LAUCN060750000000004,2005,M09,2005 Sep,20086
LAUCN060750000000004,2005,M10,2005 Oct,19743
LAUCN060750000000004,2005,M11,2005 Nov,19926
LAUCN060750000000004,2005,M12,2005 Dec,17420
LAUCN060750000000004,2006,M01,2006 Jan,18754
LAUCN060750000000004,2006,M02,2006 Feb,18918
LAUCN060750000000004,2006,M03,2006 Mar,18373
LAUCN060750000000004,2006,M04,2006 Apr,16792
LAUCN060750000000004,2006,M05,2006 May,16186
LAUCN060750000000004,2006,M06,2006 Jun,17754
LAUCN060750000000004,2006,M07,2006 Jul,19002
LAUCN060750000000004,2006,M08,2006 Aug,18228
LAUCN060750000000004,2006,M09,2006 Sep,16662
LAUCN060750000000004,2006,M10,2006 Oct,16135
LAUCN060750000000004,2006,M11,2006 Nov,16879
LAUCN060750000000004,2006,M12,2006 Dec,15793
LAUCN060750000000004,2007,M01,2007 Jan,18860
LAUCN060750000000004,2007,M02,2007 Feb,17912
LAUCN060750000000004,2007,M03,2007 Mar,18076
LAUCN060750000000004,2007,M04,2007 Apr,17079
LAUCN060750000000004,2007,M05,2007 May,16479
LAUCN060750000000004,2007,M06,2007 Jun,18718
LAUCN060750000000004,2007,M07,2007 Jul,20080
LAUCN060750000000004,2007,M08,2007 Aug,19461
LAUCN060750000000004,2007,M09,2007 Sep,18476
LAUCN060750000000004,2007,M10,2007 Oct,18286
LAUCN060750000000004,2007,M11,2007 Nov,18554
LAUCN060750000000004,2007,M12,2007 Dec,18403
LAUCN060750000000004,2008,M01,2008 Jan,20649
LAUCN060750000000004,2008,M02,2008 Feb,19459
LAUCN060750000000004,2008,M03,2008 Mar,20760
LAUCN060750000000004,2008,M04,2008 Apr,19473
LAUCN060750000000004,2008,M05,2008 May,21318
LAUCN060750000000004,2008,M06,2008 Jun,24076
LAUCN060750000000004,2008,M07,2008 Jul,26057
LAUCN060750000000004,2008,M08,2008 Aug,26900
LAUCN060750000000004,2008,M09,2008 Sep,25428
LAUCN060750000000004,2008,M10,2008 Oct,26621
LAUCN060750000000004,2008,M11,2008 Nov,27925
LAUCN060750000000004,2008,M12,2008 Dec,29431
LAUCN060750000000004,2009,M01,2009 Jan,34956
LAUCN060750000000004,2009,M02,2009 Feb,36467
LAUCN060750000000004,2009,M03,2009 Mar,38694
LAUCN060750000000004,2009,M04,2009 Apr,37213
LAUCN060750000000004,2009,M05,2009 May,38265
LAUCN060750000000004,2009,M06,2009 Jun,41930
LAUCN060750000000004,2009,M07,2009 Jul,42824
LAUCN060750000000004,2009,M08,2009 Aug,42909
LAUCN060750000000004,2009,M09,2009 Sep,41552
LAUCN060750000000004,2009,M10,2009 Oct,41860
LAUCN060750000000004,2009,M11,2009 Nov,41198
LAUCN060750000000004,2009,M12,2009 Dec,40762
LAUCN060750000000004,2010,M01,2010 Jan,45291
LAUCN060750000000004,2010,M02,2010 Feb,44324
LAUCN060750000000004,2010,M03,2010 Mar,45302
LAUCN060750000000004,2010,M04,2010 Apr,42691
LAUCN060750000000004,2010,M05,2010 May,41118
LAUCN060750000000004,2010,M06,2010 Jun,43136
LAUCN060750000000004,2010,M07,2010 Jul,44006
LAUCN060750000000004,2010,M08,2010 Aug,43947
LAUCN060750000000004,2010,M09,2010 Sep,42572
LAUCN060750000000004,2010,M10,2010 Oct,42552
LAUCN060750000000004,2010,M11,2010 Nov,43803
LAUCN060750000000004,2010,M12,2010 Dec,41151
LAUCN060750000000004,2011,M01,2011 Jan,43467
LAUCN060750000000004,2011,M02,2011 Feb,42069
LAUCN060750000000004,2011,M03,2011 Mar,41854
LAUCN060750000000004,2011,M04,2011 Apr,39095
LAUCN060750000000004,2011,M05,2011 May,38720
LAUCN060750000000004,2011,M06,2011 Jun,41588
LAUCN060750000000004,2011,M07,2011 Jul,41784
LAUCN060750000000004,2011,M08,2011 Aug,41161
LAUCN060750000000004,2011,M09,2011 Sep,39579
LAUCN060750000000004,2011,M10,2011 Oct,38809
LAUCN060750000000004,2011,M11,2011 Nov,37814
LAUCN060750000000004,2011,M12,2011 Dec,36490
LAUCN060750000000004,2012,M01,2012 Jan,38188
LAUCN060750000000004,2012,M02,2012 Feb,37772
LAUCN060750000000004,2012,M03,2012 Mar,37189
LAUCN060750000000004,2012,M04,2012 Apr,34251
LAUCN060750000000004,2012,M05,2012 May,34411
LAUCN060750000000004,2012,M06,2012 Jun,36377
LAUCN060750000000004,2012,M07,2012 Jul,37111
LAUCN060750000000004,2012,M08,2012 Aug,35519
LAUCN060750000000004,2012,M09,2012 Sep,32556
LAUCN060750000000004,2012,M10,2012 Oct,32394
LAUCN060750000000004,2012,M11,2012 Nov,31345
LAUCN060750000000004,2012,M12,2012 Dec,30638
LAUCN060750000000004,2013,M01,2013 Jan,33001
LAUCN060750000000004,2013,M02,2013 Feb,30713
LAUCN060750000000004,2013,M03,2013 Mar,29694
LAUCN060750000000004,2013,M04,2013 Apr,26933
LAUCN060750000000004,2013,M05,2013 May,27377
LAUCN060750000000004,2013,M06,2013 Jun,29711
LAUCN060750000000004,2013,M07,2013 Jul,29840
LAUCN060750000000004,2013,M08,2013 Aug,28492
LAUCN060750000000004,2013,M09,2013 Sep,27214
LAUCN060750000000004,2013,M10,2013 Oct,27179
LAUCN060750000000004,2013,M11,2013 Nov,25972
