Series ID,Year,Period,Label,Value
LAUCT536300000000004,1996,M01,1996 Jan,18985
LAUCT536300000000004,1996,M02,1996 Feb,18137
LAUCT536300000000004,1996,M03,1996 Mar,17397
LAUCT536300000000004,1996,M04,1996 Apr,15461
LAUCT536300000000004,1996,M05,1996 May,17748
LAUCT536300000000004,1996,M06,1996 Jun,18110
LAUCT536300000000004,1996,M07,1996 Jul,17820
LAUCT536300000000004,1996,M08,1996 Aug,16435
LAUCT536300000000004,1996,M09,1996 Sep,17230
LAUCT536300000000004,1996,M10,1996 Oct,15734
LAUCT536300000000004,1996,M11,1996 Nov,16674
LAUCT536300000000004,1996,M12,1996 Dec,14385
LAUCT536300000000004,1997,M01,1997 Jan,15922
LAUCT536300000000004,1997,M02,1997 Feb,16189
LAUCT536300000000004,1997,M03,1997 Mar,16064
LAUCT536300000000004,1997,M04,1997 Apr,12291
LAUCT536300000000004,1997,M05,1997 May,14965
LAUCT536300000000004,1997,M06,1997 Jun,16420
LAUCT536300000000004,1997,M07,1997 Jul,16083
LAUCT536300000000004,1997,M08,1997 Aug,14099
LAUCT536300000000004,1997,M09,1997 Sep,15158
LAUCT536300000000004,1997,M10,1997 Oct,12638
LAUCT536300000000004,1997,M11,1997 Nov,12529
LAUCT536300000000004,1997,M12,1997 Dec,10671
LAUCT536300000000004,1998,M01,1998 Jan,12275
LAUCT536300000000004,1998,M02,1998 Feb,12618
LAUCT536300000000004,1998,M03,1998 Mar,13735
LAUCT536300000000004,1998,M04,1998 Apr,10301
LAUCT536300000000004,1998,M05,1998 May,13151
LAUCT536300000000004,1998,M06,1998 Jun,15058
LAUCT536300000000004,1998,M07,1998 Jul,15119
LAUCT536300000000004,1998,M08,1998 Aug,14108
LAUCT536300000000004,1998,M09,1998 Sep,15585
LAUCT536300000000004,1998,M10,1998 Oct,13089
LAUCT536300000000004,1998,M11,1998 Nov,13419
LAUCT536300000000004,1998,M12,1998 Dec,11209
LAUCT536300000000004,1999,M01,1999 Jan,12326
LAUCT536300000000004,1999,M02,1999 Feb,13339
LAUCT536300000000004,1999,M03,1999 Mar,13053
LAUCT536300000000004,1999,M04,1999 Apr,10312
LAUCT536300000000004,1999,M05,1999 May,12525
LAUCT536300000000004,1999,M06,1999 Jun,14642
LAUCT536300000000004,1999,M07,1999 Jul,14669
LAUCT536300000000004,1999,M08,1999 Aug,13755
LAUCT536300000000004,1999,M09,1999 Sep,15013
LAUCT536300000000004,1999,M10,1999 Oct,13769
LAUCT536300000000004,1999,M11,1999 Nov,14283
LAUCT536300000000004,1999,M12,1999 Dec,12520
LAUCT536300000000004,2000,M01,2000 Jan,12909
LAUCT536300000000004,2000,M02,2000 Feb,13907
LAUCT536300000000004,2000,M03,2000 Mar,13641
LAUCT536300000000004,2000,M04,2000 Apr,10907
LAUCT536300000000004,2000,M05,2000 May,13064
LAUCT536300000000004,2000,M06,2000 Jun,14259
LAUCT536300000000004,2000,M07,2000 Jul,14831
LAUCT536300000000004,2000,M08,2000 Aug,13965
LAUCT536300000000004,2000,M09,2000 Sep,13811
LAUCT536300000000004,2000,M10,2000 Oct,13133
LAUCT536300000000004,2000,M11,2000 Nov,13962
LAUCT536300000000004,2000,M12,2000 Dec,12207
LAUCT536300000000004,2001,M01,2001 Jan,14134
LAUCT536300000000004,2001,M02,2001 Feb,15721
LAUCT536300000000004,2001,M03,2001 Mar,16487
LAUCT536300000000004,2001,M04,2001 Apr,14006
LAUCT536300000000004,2001,M05,2001 May,16227
LAUCT536300000000004,2001,M06,2001 Jun,18582
LAUCT536300000000004,2001,M07,2001 Jul,18144
LAUCT536300000000004,2001,M08,2001 Aug,18009
LAUCT536300000000004,2001,M09,2001 Sep,18576
LAUCT536300000000004,2001,M10,2001 Oct,19036
LAUCT536300000000004,2001,M11,2001 Nov,20765
